=== Anti-correlated population baseline campaign ===
High-Rep co-occurs with high-Lat; mid-Rep with low-Lat.
R=2000, seeds=9 (42..50)

n      policy         PQ_iqm     PQ_std   Nak_mean   BadShare     lat_us
16     DMPE           0.3062     0.0194       5.00     0.2571       2.32
16     Scalar         0.1301     0.0342       5.00     0.7436       1.21
16     RepOnly        0.0810     0.0132       5.00     0.8890       1.24
16     EligibleRR     0.2152     0.0098       9.00     0.5000       0.67
16     Clique         0.2152     0.0098       9.00     0.5000       0.21
40     DMPE           0.3108     0.0158      11.33     0.2316       8.59
40     Scalar         0.1487     0.0127      11.00     0.7068       1.92
40     RepOnly        0.0633     0.0073      11.00     0.9330       1.74
40     EligibleRR     0.2142     0.0023      21.00     0.5003       0.86
40     Clique         0.2144     0.0021      21.00     0.5000       0.40
DONE
