=== Integrated outcome-coupled baselines (co-varying) ===
Observation axes evolve from election outcomes each round.
R=4000, seeds=9 (42..50); n=16,40

n      policy         PQ_iqm     PQ_std   Nak_mean   BadShare
16     DMPE           0.4564     0.0115       5.11     0.2185
16     ScalarU        0.4623     0.0119       5.00     0.1954
16     Scalar         0.4621     0.0119       5.11     0.1929
16     RepOnly        0.4575     0.0095       5.00     0.1939
16     EligibleRR     0.3883     0.0092       8.00     0.4640
16     Clique         0.3776     0.0057       9.00     0.5000
40     DMPE           0.4269     0.0067      15.00     0.3351
40     ScalarU        0.4277     0.0060      15.00     0.3303
40     Scalar         0.4285     0.0056      15.00     0.3127
40     RepOnly        0.4278     0.0066      15.00     0.3140
40     EligibleRR     0.3841     0.0055      20.00     0.4864
40     Clique         0.3804     0.0047      21.00     0.5000
DONE in 852ms
